,status_group
25128,functional
33236,functional
34688,functional
41586,functional
2115,functional
56660,non functional
18316,functional
24626,functional
52785,functional
4823,functional
35923,non functional
9633,functional
13040,non functional
26736,non functional
15826,functional
16316,functional
19922,functional
13535,functional
29531,non functional
42870,functional
33652,functional
18634,functional
198,non functional
54234,functional
23682,functional
4373,functional
9528,non functional
37753,functional
19870,functional
53339,functional
31205,non functional
49392,functional
26564,functional
33151,non functional
52220,non functional
3560,non functional
20396,non functional
54208,functional
36570,functional
57873,functional
30626,non functional
40741,functional
25942,non functional
806,non functional
39581,functional
46945,non functional
55097,functional
40957,non functional
13449,functional
27975,functional
55006,non functional
44548,non functional
18121,functional
1384,non functional
5163,functional
17311,functional
56037,non functional
38060,non functional
248,functional
44223,non functional
23770,non functional
27642,functional
55145,functional
24652,functional
36371,non functional
48456,functional
54969,non functional
32508,functional
57829,functional
50786,non functional
10991,functional
49224,functional
3600,functional
56003,non functional
7411,functional
43950,functional
44486,functional needs repair
58892,functional
8633,non functional
8941,functional
27424,functional
23004,functional
25035,functional
50847,non functional
25562,functional
31105,functional
25821,functional needs repair
8431,functional
38812,functional
14361,functional
36016,non functional
26209,functional needs repair
56933,functional
43744,functional
34915,non functional
1212,functional needs repair
23485,non functional
1259,functional
43654,non functional
58383,functional
5150,functional
53241,functional
14920,non functional
774,functional
37607,functional needs repair
26779,non functional
18475,functional
52537,non functional
43609,non functional
35313,functional
32107,functional
35386,functional needs repair
28087,functional
25276,functional
36155,functional
5693,non functional
13516,functional
41137,functional
49260,non functional
20377,non functional
9565,functional
21562,functional
57553,non functional
23476,non functional
5514,functional
54784,functional needs repair
37111,functional
37703,non functional
38212,functional needs repair
46283,non functional
20813,non functional
24538,functional
24771,non functional
41913,non functional
11982,non functional
6604,functional
58016,functional
48978,functional
40620,functional
23903,functional needs repair
12308,functional
53967,functional
16540,non functional
58238,non functional
26,functional
24591,functional
12339,non functional
7724,non functional
3661,functional
42197,functional
58071,non functional
9970,functional
28919,non functional
38199,non functional
9251,non functional
40778,functional needs repair
25910,non functional
14585,functional
8928,non functional
51610,functional needs repair
34331,functional
21534,functional
51295,non functional
37019,non functional
4956,functional
16028,functional
18165,non functional
24010,functional
32292,non functional
36512,functional
40082,non functional
22595,functional
12628,functional
58320,functional
40905,functional
51401,functional
41341,functional needs repair
46481,functional
40885,non functional
38828,functional
42358,non functional
27323,functional
13767,non functional
42240,non functional
57463,non functional
37248,functional
50949,functional
24674,functional
55583,functional
38275,non functional
13044,non functional
346,functional
44008,functional
47428,non functional
4951,functional
3982,non functional
9362,functional
36476,functional
49722,non functional
34585,non functional
12731,non functional
38311,functional
19040,non functional
39720,non functional
23679,non functional
17409,non functional
36932,non functional
36009,non functional
58781,functional
58787,non functional
14163,functional
27995,non functional
9246,functional
43549,non functional
5078,functional needs repair
51816,functional
50426,functional
44565,functional
51150,functional
16577,functional
18244,non functional
45444,non functional
43645,functional
96,non functional
39984,functional
18379,non functional
47064,non functional
39373,functional
51400,functional
47097,non functional
33316,functional
17066,functional
6929,non functional
26137,functional
41165,functional
43573,non functional
12306,non functional
24513,non functional
10232,functional
15810,functional
38422,non functional
45167,functional
26139,functional
55483,functional
25295,non functional
40917,functional needs repair
54081,functional needs repair
33425,functional needs repair
43060,functional
46059,functional
41308,functional
16604,functional
47401,functional
32791,functional
52013,non functional
8912,functional
36910,non functional
41398,non functional
51811,non functional
33258,non functional
9706,non functional
15996,functional
35471,functional
45910,non functional
52310,functional
32351,non functional
23869,functional needs repair
14170,functional
37809,functional needs repair
42938,functional
9963,functional
52631,functional
34289,non functional
14421,functional
49902,non functional
46465,non functional
2373,functional needs repair
47471,functional
32066,functional
26860,functional
20459,functional needs repair
8390,non functional
25567,functional
32842,functional needs repair
2162,functional
43097,non functional
50454,functional
55739,functional
41222,functional
27010,functional
12824,functional
11043,functional
4711,non functional
43492,functional
37348,non functional
12481,non functional
32676,functional
29204,functional
44554,non functional
21940,non functional
28507,non functional
23741,non functional
18583,non functional
34318,functional
51393,non functional
59210,non functional
18290,non functional
8496,non functional
53396,functional
24360,functional
16366,non functional
21369,functional
21624,functional
37163,non functional
32823,functional
39754,non functional
52924,non functional
23876,functional
51877,functional
1890,non functional
1334,functional
50906,non functional
37655,functional
6290,functional
40638,non functional
19261,non functional
41733,functional
49348,non functional
54067,functional
34851,functional
51950,non functional
48885,non functional
11172,non functional
43237,functional needs repair
44250,non functional
7751,functional
17082,functional
50626,functional
4871,non functional
32519,non functional
49042,functional
22509,non functional
27350,non functional
23104,non functional
13072,non functional
4828,non functional
2125,functional
48070,functional
45851,non functional
8732,functional
10146,functional
22194,functional
44822,functional
57456,functional
52369,functional
14902,non functional
6761,functional
37965,non functional
31005,functional
30307,non functional
37062,non functional
1148,non functional
8748,functional
21000,non functional
7665,non functional
9304,functional
35941,functional
47436,functional
41752,non functional
48361,non functional
31827,functional
51528,functional
10385,functional
17223,non functional
35987,functional
23352,functional needs repair
58981,functional
12609,functional
51829,non functional
2954,functional
20741,non functional
4341,functional needs repair
28180,functional
48855,functional
276,functional
26353,non functional
19921,functional
12188,functional
33736,non functional
4953,functional
55402,functional
35346,functional
45895,non functional
10812,functional
45359,functional
37948,functional
52560,functional
9524,functional needs repair
48653,functional
21578,non functional
20533,non functional
53752,functional
42224,non functional
20539,non functional
27774,functional needs repair
57585,functional
41475,non functional
31708,functional needs repair
53501,non functional
35538,functional
13232,functional
42261,functional
34237,functional
53644,non functional
47572,functional
22910,non functional
54149,functional
38580,non functional
8170,functional
48300,functional
45282,functional
18180,non functional
41152,functional
20362,functional
41288,functional
4931,functional
43314,non functional
52711,functional
6395,non functional
58911,non functional
37708,non functional
18441,functional
13171,non functional
48985,functional needs repair
30135,functional
21039,functional
46297,non functional
34473,non functional
30142,functional
20561,non functional
16232,functional
2638,non functional
17968,functional
30249,functional
39530,functional
6738,functional
23254,non functional
51642,functional
8634,functional
16439,functional needs repair
3740,functional
42375,functional
52170,non functional
19349,functional
59286,functional
13934,non functional
17659,functional
17228,functional
58034,non functional
24729,non functional
35330,non functional
10830,functional
3372,non functional
26069,functional
47484,functional
39036,functional
3501,non functional
1038,functional
35416,non functional
53828,functional needs repair
9621,functional
5982,functional
34626,non functional
54462,non functional
36618,functional
26068,non functional
43775,functional
32473,non functional
16194,non functional
38418,functional
12359,functional
11832,functional
36404,functional
49547,non functional
41211,functional
20754,non functional
35111,non functional
17881,non functional
3968,functional
49931,functional needs repair
55729,non functional
7376,non functional
24596,functional
34247,functional
5392,functional
1226,non functional
58398,non functional
1235,non functional
38281,functional
57094,non functional
49811,functional
9957,functional
56486,functional needs repair
2477,functional
54567,functional
33042,functional
25859,non functional
57786,functional
2053,non functional
35680,functional
36765,non functional
39842,non functional
9046,functional
23161,non functional
40253,functional
56484,functional
10475,non functional
56732,non functional
38527,functional
27963,functional
23660,functional needs repair
33881,non functional
11365,non functional
42899,functional
21874,functional needs repair
17907,functional
49228,functional
28452,functional
39302,non functional
58212,non functional
30841,functional needs repair
8021,functional
30509,functional
34373,non functional
45928,non functional
4829,non functional
21001,functional
28715,functional
33765,functional
3662,functional
25867,non functional
10296,functional
50841,non functional
42772,functional
50851,non functional
43927,functional needs repair
52759,functional
18824,functional
48542,non functional
51553,functional
23011,functional needs repair
52600,functional
50778,functional
51896,functional
2446,functional
26254,functional
25335,non functional
9656,functional
18711,non functional
13141,non functional
4022,functional
22527,functional
29071,functional
40757,non functional
11961,functional
53865,functional
35682,non functional
51032,non functional
45440,functional
19968,functional
44926,non functional
28835,functional
31652,non functional
45718,non functional
32019,functional
14018,non functional
58128,non functional
53348,functional
44112,functional
15189,non functional
23034,non functional
13063,functional
6720,non functional
25042,functional
2564,functional
26183,functional
32401,functional
3093,functional needs repair
29430,functional
37575,functional needs repair
46671,non functional
52286,non functional
36495,functional
2719,functional needs repair
35936,functional
14924,non functional
30206,functional
35506,functional
14917,non functional
29424,functional
29518,non functional
2450,functional
27706,functional
4281,functional
52363,non functional
4228,functional
19706,non functional
58481,functional
34598,non functional
16941,non functional
32202,non functional
37682,non functional
23262,functional
55086,non functional
36879,non functional
19189,functional
7165,non functional
24095,non functional
23678,functional
7195,non functional
46939,non functional
46066,functional
40365,non functional
26710,functional
22864,non functional
15944,functional
23175,functional
18883,functional
28016,functional
20703,functional
16744,functional
55324,functional
30998,functional
42094,functional
18984,functional
52603,functional
49862,non functional
3851,functional
37613,functional needs repair
18370,non functional
35460,functional
25574,non functional
18763,functional
37420,functional
36439,functional
2297,non functional
40706,functional needs repair
45884,functional needs repair
1782,non functional
25243,non functional
40692,functional
27748,functional
59240,functional needs repair
31876,non functional
36651,non functional
32897,functional
2044,non functional
41296,functional
24455,functional
21278,non functional
23268,functional
55177,non functional
37333,functional
43368,functional
50020,functional
23366,functional
34250,non functional
34756,non functional
20086,functional
32609,non functional
41966,non functional
53240,functional needs repair
35544,functional
53604,non functional
3608,functional
11895,functional
12169,non functional
23070,functional
34140,non functional
22375,non functional
45041,functional needs repair
44602,non functional
58994,functional
49946,functional
24995,functional
34890,functional
57985,functional
20795,non functional
37492,functional
46901,functional
1344,non functional
47074,functional
40509,non functional
28545,functional
34720,functional
50336,functional
55900,non functional
43105,non functional
9964,non functional
56770,non functional
704,functional
50635,functional
57881,non functional
14946,non functional
19868,non functional
6050,non functional
43580,functional
17284,functional
27377,non functional
25177,functional
24177,functional
27283,non functional
34821,functional
49629,functional needs repair
9943,non functional
15956,functional
6023,non functional
8126,functional
39426,non functional
54551,functional
47040,non functional
44641,non functional
27705,functional
48182,functional
24836,functional
17122,functional
8286,functional
44735,functional
27676,functional
45733,functional
26993,functional
56306,functional
15214,functional
40959,non functional
49834,non functional
12536,functional
53856,functional
668,non functional
5601,non functional
31062,functional
2781,functional
8029,functional
40696,functional
47575,functional
22096,functional
11614,non functional
7217,functional
49897,non functional
48975,non functional
34293,non functional
50119,functional
16343,functional needs repair
18627,non functional
27499,functional
55534,non functional
7134,non functional
47861,functional
9016,non functional
34349,functional
13932,non functional
34088,non functional
43505,functional needs repair
58105,non functional
53819,functional
20332,non functional
47389,functional
6514,functional
6406,non functional
18536,non functional
48705,functional
48972,functional
4720,non functional
28011,functional
38009,functional
10410,functional
5099,functional needs repair
51262,functional
9582,functional needs repair
32062,non functional
544,functional
53162,non functional
36106,functional
8069,functional
45646,functional
46705,functional
26829,functional
31728,functional
38342,non functional
23550,non functional
3393,functional
31324,non functional
6148,functional
44359,non functional
55638,functional needs repair
37931,non functional
16821,functional
21060,functional
12894,functional needs repair
40890,functional needs repair
5762,functional
38532,functional
28595,non functional
47683,functional
56389,non functional
4574,non functional
29936,functional
30748,non functional
10016,non functional
37202,functional
1264,non functional
46495,functional
18862,functional needs repair
31664,non functional
18927,functional
13221,non functional
50207,non functional
15515,functional
30049,non functional
25491,non functional
828,non functional
10154,functional
27366,functional
47797,functional
48132,non functional
13524,functional
21825,functional needs repair
1373,functional
52912,functional
16753,non functional
58413,functional
58642,non functional
42343,non functional
51822,functional
3387,non functional
9686,non functional
9569,functional
50025,functional
55256,functional
33256,non functional
9684,functional
11616,functional
13313,non functional
17660,non functional
46685,non functional
11509,functional
35639,non functional
28365,functional
22115,functional
3100,functional
27981,functional needs repair
43503,functional
55428,non functional
19762,functional needs repair
52739,functional
32090,functional
56651,non functional
43961,functional needs repair
53464,functional
13228,non functional
15118,functional
12005,functional
28323,functional
27931,non functional
15289,non functional
17731,non functional
48765,functional
5914,functional
51129,functional needs repair
11486,functional
34177,functional
17044,functional
58553,functional
28529,functional
56098,non functional
57927,functional
35183,non functional
30940,non functional
15475,functional
54763,non functional
19518,functional
49296,non functional
44435,non functional
57582,non functional
26896,functional
20762,functional
40628,non functional
19032,non functional
20679,functional
26981,functional
9383,non functional
29487,functional
46827,functional
38163,functional
6890,functional
51019,functional
32996,non functional
40752,functional
34321,functional
58842,functional
53336,functional
14112,functional
48864,non functional
55455,functional
34406,functional
49725,functional
54807,functional needs repair
613,functional
51192,functional
54126,functional
35150,functional
21758,non functional
9796,non functional
33205,functional
19120,functional
8310,non functional
6871,functional
26791,functional
40710,functional
44963,non functional
49716,functional
26732,functional
32887,non functional
25769,functional
19857,non functional
769,functional needs repair
28244,functional needs repair
19194,non functional
28993,non functional
21390,non functional
27558,non functional
53246,non functional
8867,functional needs repair
47379,non functional
17366,functional
23949,non functional
24188,non functional
3125,functional
54437,non functional
22402,functional
6643,functional needs repair
7976,functional needs repair
16615,non functional
48467,functional
33893,non functional
39817,non functional
25019,non functional
1993,functional
22628,non functional
36609,functional
48198,functional
48809,functional
15876,non functional
32498,functional
34812,non functional
20552,functional
6729,functional
21265,non functional
58480,functional
7095,non functional
56559,functional
55632,functional
46008,functional
34857,functional
39330,functional needs repair
39699,non functional
43055,non functional
28960,functional needs repair
36845,non functional
26848,non functional
5376,non functional
33158,functional
56505,functional
15093,non functional
25141,non functional
12575,functional
32784,functional
12612,functional
34035,functional
51176,non functional
41134,functional
50696,non functional
21107,functional
19734,functional
22683,non functional
56408,functional
47450,functional
11741,functional
15533,non functional
5845,non functional
11976,functional
33418,functional
56195,functional needs repair
39415,functional needs repair
10682,functional
15679,non functional
46232,functional
50146,functional
18049,functional
57836,functional
35440,non functional
40794,functional
13587,functional
53679,non functional
11093,non functional
20444,functional
46409,functional
34377,non functional
42085,functional
30200,non functional
15336,non functional
41900,functional
11738,functional needs repair
56677,functional
8648,functional
7921,non functional
5051,functional
1478,functional
3984,functional
22063,functional
25539,non functional
5104,functional
18669,functional
8776,non functional
41218,functional
38826,functional
44953,functional
19094,functional
55323,functional
33933,non functional
11073,non functional
7279,functional needs repair
27972,functional
11647,functional
42300,non functional
54226,functional
42956,non functional
31079,functional
34219,non functional
31668,non functional
52152,non functional
35974,functional
19493,functional
46547,non functional
53749,functional
39050,functional
21732,functional needs repair
33668,non functional
47807,non functional
21543,non functional
31539,functional
38343,non functional
3663,functional
32882,non functional
2215,non functional
9544,functional
51547,non functional
20008,functional needs repair
7351,functional
43161,functional
39215,non functional
18313,non functional
373,functional
3021,non functional
51748,functional
36381,functional
27122,non functional
30823,functional
41350,functional
18503,functional
22735,non functional
22734,functional
19222,non functional
57116,functional
42877,functional
56456,non functional
26976,functional
6652,functional needs repair
13723,non functional
51083,functional
49354,functional
39481,functional
630,functional
44201,functional
50510,non functional
14852,non functional
12841,functional
38302,functional
28096,functional
11792,functional
12770,functional
4765,non functional
35324,functional
7955,functional
56967,functional
54153,functional
58824,non functional
33089,non functional
22991,functional
10372,functional
24158,functional
580,non functional
15544,functional
4532,functional
10231,functional
12426,functional needs repair
54324,non functional
27196,functional
27345,functional
2706,functional
163,functional
26513,functional
23773,non functional
22526,functional
612,functional
11472,functional
21127,functional
53199,functional
13761,non functional
34110,non functional
59054,non functional
7077,functional
19410,functional
56158,functional
28382,functional
56010,non functional
1166,functional
31156,non functional
30608,non functional
33193,non functional
43178,functional
44798,functional needs repair
49622,functional
23282,non functional
56517,non functional
4507,functional needs repair
13796,non functional
26292,non functional
19975,non functional
36449,functional
17914,functional
53481,functional
1957,functional
22058,functional needs repair
50817,non functional
43605,functional
52635,non functional
9178,functional
4802,non functional
43519,functional
37923,functional
42057,non functional
48391,non functional
59272,functional
430,functional
54941,non functional
55357,functional
22557,functional
4737,functional
20248,non functional
27683,functional
28930,non functional
58633,functional
45652,functional
21143,functional
3979,functional
19817,functional needs repair
35148,functional
39412,functional
43201,non functional
37929,functional needs repair
5498,non functional
13132,functional
43184,non functional
22336,functional
50655,functional
58951,functional
671,non functional
30280,non functional
28428,functional
3947,non functional
24739,functional needs repair
45490,functional
58630,non functional
44945,functional
27453,functional
37587,functional needs repair
7176,non functional
57803,functional
46532,non functional
34822,functional
46882,non functional
29874,functional
57011,non functional
24510,non functional
21189,non functional
17451,functional
20023,functional needs repair
54724,functional
8929,functional
33606,functional
57821,non functional
39039,functional
47910,functional needs repair
6038,non functional
29552,non functional
53444,functional
54735,functional
36471,functional
48012,functional
32179,functional
33332,non functional
40783,functional
45543,non functional
1462,non functional
51509,functional
57514,functional
58692,functional
12287,functional
51077,functional
44709,functional
25030,functional
20548,non functional
22002,non functional
59166,functional
24873,non functional
5156,functional
39339,functional
20612,functional
50327,functional
3294,functional
43040,non functional
38001,functional needs repair
22119,functional
15567,functional
12652,non functional
34499,functional
50711,non functional
10310,non functional
54268,non functional
43200,functional
10599,non functional
19919,functional needs repair
42700,functional
13731,functional
13061,functional
4881,functional
37654,non functional
56044,non functional
8516,functional needs repair
49781,functional
54705,non functional
53284,non functional
19977,non functional
6128,functional
8927,non functional
25915,functional
36616,functional
50961,functional
20121,functional
42015,functional
42815,functional
10588,functional needs repair
50406,functional
27544,functional
932,non functional
48600,functional
22114,non functional
54776,functional
46997,non functional
32224,non functional
12907,non functional
37321,non functional
31186,non functional
10324,non functional
52691,non functional
49917,non functional
57988,functional needs repair
7917,functional
32170,non functional
9928,functional
44557,functional
16506,non functional
30355,non functional
5430,functional
5127,functional
15425,non functional
37719,functional
30357,non functional
47628,functional
18289,non functional
41552,non functional
47673,non functional
20259,functional needs repair
30379,non functional
34076,functional
24965,functional
30514,non functional
44362,functional needs repair
17308,functional
20886,non functional
20690,non functional
20122,functional
33403,functional
9967,functional
26566,non functional
982,non functional
43570,functional
2542,functional
45430,non functional
3113,non functional
51763,functional needs repair
53645,non functional
57046,functional
27879,non functional
44009,functional
53924,non functional
4485,non functional
27444,non functional
25061,functional
31469,non functional
4947,functional
55897,non functional
22300,functional
25730,functional
50006,non functional
34435,functional
10134,functional
32601,functional
5581,functional
28677,functional
42308,non functional
32120,functional
6858,non functional
13192,functional
6272,functional
3880,functional
53815,non functional
54424,functional
4513,functional
52977,functional
8461,functional
20183,functional
53678,non functional
58424,non functional
438,non functional
59063,functional
11571,non functional
21630,functional
53189,functional
47214,non functional
30938,functional
51548,non functional
11534,non functional
52501,non functional
9829,non functional
42411,non functional
917,functional needs repair
24470,non functional
4606,functional
10162,non functional
17143,non functional
39350,functional needs repair
4215,non functional
44459,non functional
16334,functional
45942,functional
5611,functional
19937,non functional
50666,non functional
22698,non functional
19344,non functional
9867,non functional
19867,non functional
49635,non functional
57690,non functional
33653,non functional
6403,functional
8908,non functional
19579,functional
55689,non functional
6902,non functional
1733,non functional
33615,non functional
34703,non functional
13801,non functional
7979,functional
29378,functional
33883,functional
48432,functional
38438,functional
32016,non functional
10759,non functional
22143,non functional
24907,functional
39325,non functional
38142,functional
11184,non functional
32153,non functional
28579,functional
42644,non functional
14092,functional
48297,functional
14133,functional needs repair
16323,functional
45814,functional
2198,functional needs repair
49472,functional
11255,functional
35842,non functional
36385,functional
27251,non functional
23623,functional
52080,functional
13920,functional
31168,non functional
34561,non functional
51925,functional
18001,functional
5722,non functional
36734,functional
14804,non functional
13630,functional
38398,functional
53613,functional
2622,functional
20818,functional
40799,functional
42735,non functional
8683,functional
45715,functional
45213,functional
16944,non functional
29728,functional
45872,functional
14494,functional
34299,functional
41563,non functional
35812,functional
37421,non functional
5559,functional
15822,functional
14428,functional needs repair
40609,functional
39498,functional
44476,functional
2961,non functional
29467,functional
3404,functional
11652,non functional
16354,non functional
52860,non functional
8381,functional
8663,functional
50225,functional needs repair
52200,functional
11945,functional
37460,functional
16087,functional
52452,functional
17237,non functional
52105,functional
18268,functional
45684,non functional
58647,functional
35603,functional
38280,functional
18025,functional
3182,non functional
6231,non functional
50569,non functional
45932,non functional
9567,non functional
19225,non functional
39988,non functional
13271,functional
10490,functional needs repair
40677,functional
661,functional
40455,functional
7209,functional
50854,non functional
40399,functional
57543,non functional
18330,non functional
20963,non functional
7006,functional
1913,non functional
21472,non functional
55500,functional
11006,functional
14426,functional
10860,functional
48848,functional
21357,functional
16568,non functional
59389,functional
9105,functional
1911,non functional
14988,non functional
12130,functional needs repair
13890,functional
15765,functional
8558,functional
54594,functional
56663,functional
12282,non functional
14769,functional
2708,functional
34591,functional needs repair
54938,functional
6102,non functional
57728,non functional
53634,non functional
2260,non functional
41694,non functional
31867,functional
38014,non functional
55198,functional
13915,functional
5931,functional
20480,functional
8403,functional
56916,non functional
31452,non functional
10367,non functional
51014,functional
35351,non functional
58406,non functional
9388,functional
51794,non functional
27666,non functional
21285,functional
50049,functional needs repair
26354,non functional
13824,functional
2941,non functional
50269,non functional
45076,non functional
33700,functional
40351,functional
26229,non functional
9597,non functional
21597,functional
28082,non functional
48996,functional
53103,functional
3431,functional
54130,functional
39175,non functional
18225,functional
46574,non functional
24230,non functional
17664,non functional
17264,non functional
53391,functional
31330,functional
2533,functional
46974,functional
50951,functional
24185,functional needs repair
21119,functional
23137,functional
25493,functional
10157,functional
8784,non functional
40017,functional
17616,functional
36654,non functional
10778,functional
5317,functional
54646,functional
51417,functional
4140,non functional
46023,non functional
41311,functional
2000,non functional
2780,non functional
26898,functional
3363,non functional
41030,non functional
53813,non functional
5972,non functional
33779,non functional
27652,non functional
53737,functional
45373,functional
12483,functional
43733,functional
56185,functional
43716,functional
32843,functional
15902,functional
33461,functional
32168,non functional
25394,non functional
45773,non functional
18977,non functional
17990,functional
34173,functional needs repair
30004,non functional
24057,functional
57516,functional needs repair
28679,functional
12809,functional
28766,functional needs repair
35306,functional
8725,non functional
36831,functional
648,non functional
10790,functional
21025,non functional
7726,functional
3669,non functional
50008,non functional
21498,functional
1884,functional
4868,functional
28493,functional
13839,functional
19433,non functional
42580,non functional
38264,functional
2087,non functional
19629,non functional
5690,non functional
34525,non functional
49249,non functional
2534,functional
50838,functional
12644,non functional
17453,functional
45441,non functional
2673,non functional
38588,non functional
5523,functional
7848,non functional
13343,non functional
2608,non functional
57443,functional
43934,functional
38855,non functional
42736,functional
4021,non functional
20589,functional
20228,non functional
12908,functional
15157,functional
17771,functional
38207,non functional
4139,functional
42892,non functional
41497,functional
27492,non functional
3845,functional needs repair
2674,non functional
57929,non functional
49243,functional
22437,non functional
19661,functional
35378,functional needs repair
58155,functional
54151,functional
36666,functional
35062,functional needs repair
3668,non functional
9062,functional needs repair
24512,functional
14979,non functional
33763,functional
4896,functional
8143,functional
23600,non functional
35007,functional
33783,functional
34745,non functional
17802,functional
40858,functional
37505,functional
38661,functional
43891,non functional
22691,functional
20852,functional needs repair
19363,functional
16865,functional
18249,non functional
8844,non functional
39854,functional
35021,non functional
10791,non functional
14336,functional
58952,non functional
7350,functional needs repair
22695,non functional
10796,functional needs repair
9698,non functional
26894,non functional
48621,non functional
44723,non functional
52464,functional
3926,non functional
17806,functional
40073,functional
17436,non functional
54779,functional
52273,non functional
7366,functional
50388,functional
13815,functional
30426,functional
38513,functional
6906,non functional
46229,functional
37249,non functional
12883,non functional
47821,functional
14455,functional
17403,functional
9993,functional
6056,functional
15173,functional
51438,non functional
36644,functional needs repair
26762,functional
17807,functional
7664,non functional
10075,functional
44936,non functional
23159,non functional
46888,functional
45963,functional
47703,functional
38480,functional
28450,non functional
2535,non functional
53812,functional
7442,non functional
42805,functional
405,functional
51249,non functional
42997,functional
